ID,Last Name,Initials,g,h,h_m,h_s,Include
fbee59fac22251e507c6cba6cf109a6b,UPPERMAN,JS,20,20,4.38333,0.955978141,
85fc7be8df1c0b9aba7a8b6df7b05f21,GAETANI,P,27,19,8.93523,0.908179234,
2d73c18295ce351362420c6149910f9e,HAIDER,AH,34,19,7.81667,0.908179234,
30577b3866d021258402355a6b697fcc,BOCCAGNI,P,33,19,6.82619,0.908179234,
a03d32b246fedcce5f4ad56723438b6e,ORLOFF,LA,26,18,8.68333,0.860380327,
dc75ca11e645b7cec919277fd4636efc,TSENG,E,32,18,8.18333,0.860380327,
84d760d4fc4974180fc8cc6713e45ece,CIROCCHI,R,28,18,7.95,0.860380327,
c2c889c7f53e6f0762ad0796897e0e8f,DEVIREN,V,31,18,5.29286,0.860380327,
138dc94157eed072b31e292785355663,CARTER,BS,19,18,4.73333,0.860380327,
f692520cc9bfeb146682ba28f2877b47,HU,D,33,17,7.43333,0.81258142,
30521deba343116cb510aa0a42b93147,BARDINI,R,32,17,6.76667,0.81258142,
443aed0d2d427f2ffd1dbce533999e38,GUCCIONE,JM,31,17,6.31667,0.81258142,
dd909e5214b5f2aa883ba6261f40a108,PUCCIARELLI,S,31,17,5.93333,0.81258142,
c897c1f3a72a73dec125c7b718035d27,BRINGAS,J,23,17,5.43333,0.81258142,
297624c0059a4b7d5de31335f692679f,CARRERE,N,20,17,5.05,0.81258142,
4e9d68786eb8bb84c499b58e4a64ae24,BLEVINS,NH,23,16,7.95,0.764782513,
cc2c18ba8fca1eeda67125102b287271,COHEN,GA,38,16,7.78333,0.764782513,
f4853157ad2d45b5004ebbf6e424fa14,ZANUS,G,32,16,7.39048,0.764782513,
d57a521c1cef0e7f82a1c39142133d68,CHESHIER,SH,25,16,5.6,0.764782513,
e5a4a096ee06bd7d6382a5a36b42e02f,VARMA,MG,28,16,5.3,0.764782513,
8492956f0b3543ec01486f72c3e1104c,ROSBE,KW,25,16,3.95,0.764782513,
d8272975eef1d2e9a486f19a49dbad4d,HARTMAN,GE,20,15,7.63333,0.716983606,
3e99a3d8044322245a0a1faf4972a247,CHOU,LB,30,15,6.95,0.716983606,
54a2466c78ed946d7a849ed0253fdf7e,PHILLIPS,JJ,35,15,6.8,0.716983606,
2df1506f3b84ff8505d5f8d0c24e2ffa,STEWART,L,36,15,6.2,0.716983606,
6dd5c0dac179c47ca9e1b706a222cb8a,KEZIRIAN,EJ,25,15,6.06667,0.716983606,
0785303bea27bad09c1941af7343c64c,ALLISTON,T,27,15,5.1,0.716983606,
441f43668a915c01f6ee426be369ee86,KIRKWOOD,KS,23,15,4.81667,0.716983606,
d000e28112d6fcb9e42d108a14320549,CAMPBELL,AR,21,15,4.81667,0.716983606,
99cca65fc15b5ecfdf004a61e033d863,DICKER,RA,25,15,4.78333,0.716983606,
b2bf9caf4883d029c25a1594ace4df2c,IACOBONE,M,26,15,4.73333,0.716983606,
3b4114244b9ae93d529f36331066b0b4,SCHRADER,AJ,27,14,7.95,0.669184699,
f02c1063bcafc11c9a912f7e9af1be9d,CASCONE,P,24,14,6.36667,0.669184699,
4d17341b7581c01cd504c66149228fb2,BLEVINS,LS,30,14,5.82619,0.669184699,
52e2cce9c2ddc40a1ae9f60d9a0fd09d,BROLESE,A,26,14,4.87619,0.669184699,
f76dd8048494d940a5e12f4ab991dd9a,BURT,BM,24,14,4.86667,0.669184699,
11052eca7b02de30f13c776f3fde5ec0,FUCHS,JR,22,14,4.81667,0.669184699,
015ea0b9e64082f93eaa29c7c4456cfa,CHANG,TT,23,14,4.76667,0.669184699,
c06186aaba13c3407776eef7a32f252b,BUCKWALTER,MS,19,14,4.73333,0.669184699,
2176803d871aea24040b72e2eef31f85,LEY,EJ,20,14,4.71667,0.669184699,
b3888e07c12ecbc2b14ac92526a2262b,AAD,G,35,14,4.4,0.669184699,
1c52fd81ad1e1236fc6b4b9c2bf1f959,MARCHET,A,26,14,4.26667,0.669184699,
6cab1cd9499158d11bd00c3b35a42470,KIM,HT,23,13,7.23333,0.621385792,
07332ab8fb2207692899fb6f5e833148,MIDWINTER,M,22,13,6.61667,0.621385792,
